club,club_type,target_distance,power_percent,power_range,final_distance,error,abs_error,iterations,found,reachable
7I,iron,110,0.5687500000000001,73.93750000000001,110.47147052649636,-0.47147052649636123,0.47147052649636123,6,True,True
7I,iron,120,0.596875,77.59375,119.6365786604955,0.36342133950449806,0.36342133950449806,7,True,True
7I,iron,130,0.625,81.25,129.9074605155676,0.09253948443239324,0.09253948443239324,4,True,True
7I,iron,140,0.6531250000000001,84.90625000000001,139.53902737088006,0.46097262911993653,0.46097262911993653,7,True,True
7I,iron,150,0.6821289062500002,88.67675781250003,150.45106638793592,-0.45106638793592424,0.45106638793592424,12,True,True
7I,iron,160,0.7093750000000001,92.21875000000001,160.31210755683227,-0.31210755683227376,0.31210755683227376,7,True,True
7I,iron,170,0.7369140625,95.798828125,170.3909259102817,-0.39092591028170887,0.39092591028170887,11,True,True
7I,iron,180,0.7638671875000002,99.30273437500001,179.53503499173016,0.4649650082698429,0.4649650082698429,11,True,True
7I,iron,190,0.7914062500000002,102.88281250000003,189.88085886266506,0.11914113733493537,0.11914113733493537,9,True,True
7I,iron,200,0.8171875000000002,106.23437500000003,199.99457651221226,0.005423487787737713,0.005423487787737713,8,True,True
7I,iron,210,0.8441406250000001,109.73828125000001,210.4506833720801,-0.4506833720801069,0.4506833720801069,10,True,True
7I,iron,220,0.8687500000000001,112.93750000000001,219.50951740475307,0.49048259524693094,0.49048259524693094,6,True,True
7I,iron,230,0.8974609375000001,116.66992187500001,230.4971967356582,-0.497196735658207,0.497196735658207,11,True,True
7I,iron,240,0.925,120.25,240.28914086932357,-0.28914086932357463,0.28914086932357463,4,True,True
7I,iron,250,0.95078125,123.6015625,249.76749052628216,0.23250947371784036,0.23250947371784036,9,True,True
7I,iron,260,0.9765625,126.953125,260.3357807339929,-0.3357807339929195,0.3357807339929195,8,True,True
8I,iron,50,0.3765625,45.1875,49.89104515723011,0.10895484276989009,0.10895484276989009,8,True,True
8I,iron,60,0.41640625,49.96875,59.7532819498952,0.2467180501048034,0.2467180501048034,9,True,True
8I,iron,70,0.45156250000000003,54.18750000000001,69.65621131993854,0.3437886800614649,0.3437886800614649,8,True,True
